sample_id,link,new_url
5822090,https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java/#L37-L136,https://raw.githubusercontent.com/apache/uima-ruta/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java
5827650,https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java/#L29-L85,https://raw.githubusercontent.com/apache/uima-ruta/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java
sample_id,link,new_url
5822090,https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java/#L37-L136,https://raw.githubusercontent.com/apache/uima-ruta/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-core/src/main/java/org/apache/uima/ruta/action/TrimAction.java
5827650,https://github.com/apache/uima-ruta/blob/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java/#L29-L85,https://raw.githubusercontent.com/apache/uima-ruta/08efb111a775b4ba01cf048ac699aa9c22188325/ruta-ep-addons/src/main/java/org/apache/uima/ruta/cde/ui/DocumentTableLabelProvider.java
5894781,https://github.com/apache/webservices-xmlschema/blob/f189e891c88298f52f92cfe8f24dccb809e05607/xmlschema-core/src/main/java/org/apache/ws/commons/schema/XmlSchemaChoiceMember.java/#L28-L29,https://raw.githubusercontent.com/apache/webservices-xmlschema/f189e891c88298f52f92cfe8f24dccb809e05607/xmlschema-core/src/main/java/org/apache/ws/commons/schema/XmlSchemaChoiceMember.java
6002683,https://github.com/apache/wss4j/blob/5c2cbd7e7377296edab02ab79fc98b84fb47f825/policy/src/main/java/org/apache/wss4j/policy/model/Trust13.java/#L30-L170,https://raw.githubusercontent.com/apache/wss4j/5c2cbd7e7377296edab02ab79fc98b84fb47f825/policy/src/main/java/org/apache/wss4j/policy/model/Trust13.java
6005399,https://github.com/apache/wss4j/blob/5c2cbd7e7377296edab02ab79fc98b84fb47f825/bindings/src/main/java/org/apache/wss4j/binding/wsu10/TimestampType.java/#L77-L219,https://raw.githubusercontent.com/apache/wss4j/5c2cbd7e7377296edab02ab79fc98b84fb47f825/bindings/src/main/java/org/apache/wss4j/binding/wsu10/TimestampType.java
6133656,https://github.com/eclipse/dltk.core/blob/ff5ee79db0c2234347cb3f956de9b31047f43613/core/plugins/org.eclipse.dltk.debug.ui/src/org/eclipse/dltk/debug/ui/preferences/dialogs/CreateStepFilterDialog.java/#L32-L213,https://raw.githubusercontent.com/eclipse/dltk.core/ff5ee79db0c2234347cb3f956de9b31047f43613/core/plugins/org.eclipse.dltk.debug.ui/src/org/eclipse/dltk/debug/ui/preferences/dialogs/CreateStepFilterDialog.java
6178268,https://github.com/eclipse/egit/blob/45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.ui.test/src/org/eclipse/egit/ui/common/SharingWizard.java/#L21-L36,https://raw.githubusercontent.com/eclipse/egit/45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.ui.test/src/org/eclipse/egit/ui/common/SharingWizard.java
6191838,https://github.com/eclipse/egit/blob/45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/synchronize/action/ExpandAllModelAction.java/#L30-L46,https://raw.githubusercontent.com/eclipse/egit/45c1839348e50f1835a3f76e306af8d1a190d617/org.eclipse.egit.ui/src/org/eclipse/egit/ui/internal/synchronize/action/ExpandAllModelAction.java
6267409,https://github.com/eclipse/jgit/blob/00523f38a19b073990239b0f837efa14197764c7/org.eclipse.jgit.ssh.apache/src/org/eclipse/jgit/internal/transport/sshd/JGitHostConfigEntry.java/#L58-L102,https://raw.githubusercontent.com/eclipse/jgit/00523f38a19b073990239b0f837efa14197764c7/org.eclipse.jgit.ssh.apache/src/org/eclipse/jgit/internal/transport/sshd/JGitHostConfigEntry.java
6350501,https://github.com/eclipse/linuxtools/blob/11865e6e7d86a9d2e63c7b25605f6055875e63ad/systemtap/org.eclipse.linuxtools.systemtap.ui.ide/src/org/eclipse/linuxtools/internal/systemtap/ui/ide/editors/stp/STPIndenter.java/#L45-L2342,https://raw.githubusercontent.com/eclipse/linuxtools/11865e6e7d86a9d2e63c7b25605f6055875e63ad/systemtap/org.eclipse.linuxtools.systemtap.ui.ide/src/org/eclipse/linuxtools/internal/systemtap/ui/ide/editors/stp/STPIndenter.java
6424683,https://github.com/eclipse/eclipse.platform.ui/blob/e3bbb556534a1fb945e1036948325d14a8dd9c7a/bundles/org.eclipse.jface/src/org/eclipse/jface/window/IShellProvider.java/#L26-L34,https://raw.githubusercontent.com/eclipse/eclipse.platform.ui/e3bbb556534a1fb945e1036948325d14a8dd9c7a/bundles/org.eclipse.jface/src/org/eclipse/jface/window/IShellProvider.java
6392412,https://github.com/eclipse/nebula.widgets.nattable/blob/02b4aba0e0b6998077b40e7d3f892743f7005023/org.eclipse.nebula.widgets.nattable.core.test/src/org/eclipse/nebula/widgets/nattable/viewport/ViewportLayerTest2.java/#L21-L63,https://raw.githubusercontent.com/eclipse/nebula.widgets.nattable/02b4aba0e0b6998077b40e7d3f892743f7005023/org.eclipse.nebula.widgets.nattable.core.test/src/org/eclipse/nebula/widgets/nattable/viewport/ViewportLayerTest2.java
